doc_id,start_pos,end_pos,surface,type,identifier,wiki_title,score
https://digitalzibaldone.net/node/p1012_2,243,249,Andrès,PER,Q2758559,Juan Andrés,0.9478463377064772
https://digitalzibaldone.net/node/p1012_2,276,280,Roma,LOC,Q220,Roma,0.9601929096934393
https://digitalzibaldone.net/node/p1012_2,416,422,Milano,LOC,Q490,Milano,0.9906965458232064
https://digitalzibaldone.net/node/p1012_2,529,537,Cicerone,PER,Q1541,Marco Tullio Cicerone,0.9930846924362311
https://digitalzibaldone.net/node/p1012_2,540,546,Andrès,PER,Q2758559,Juan Andrés,0.9632198055654586
https://digitalzibaldone.net/node/p1023_2,52,64,impero greco,LOC,Q184313,Magna Grecia,0.270431214153501
https://digitalzibaldone.net/node/p1023_2,189,195,italia,LOC,Q38,Italia,0.9879327896141715
https://digitalzibaldone.net/node/p1023_2,251,255,Cic.,PER,Q1541,Marco Tullio Cicerone,0.9783910205162154
https://digitalzibaldone.net/node/p1023_2,262,270,Virgilio,PER,Q1398,Publio Virgilio Marone,0.9955955869367884
https://digitalzibaldone.net/node/p1023_2,289,296,Augusto,PER,Q1405,Augusto,0.9962746806782167
https://digitalzibaldone.net/node/p1023_2,425,431,Andrès,PER,Q2758559,Juan Andrés,0.889317585770618
https://digitalzibaldone.net/node/p1034_2,62,68,Italia,LOC,Q38,Italia,0.9878108675608408
https://digitalzibaldone.net/node/p1037_1,40,50,᾽Eπιτάϕιος,WORK,Q190340,Alleluia,0.024224841642688864
https://digitalzibaldone.net/node/p1037_1,64,73,Demostene,PER,Q117253,Demostene,0.9971598279227931
https://digitalzibaldone.net/node/p1040_1,280,286,Grecia,LOC,Q11772,Antica Grecia,0.9301251470217856
https://digitalzibaldone.net/node/p1040_1,421,427,italia,LOC,Q38,Italia,0.9878108675608408
https://digitalzibaldone.net/node/p1040_1,436,442,Gallie,LOC,Q38060,Gallia,0.9417114752160533
https://digitalzibaldone.net/node/p1040_1,642,648,Gallie,LOC,Q38060,Gallia,0.8742813243544973
